customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
customer_0000,Male,0,No,No,66,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Electronic check,94.16487519301606,6019.274905664704,Yes
customer_0001,Female,1,No,No,24,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),25.53318404880035,608.2206057324714,Yes
customer_0002,Male,0,No,No,60,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,30.360148158735775,1889.2690684395689,Yes
customer_0003,Male,0,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.931555510168252,687.8394687013063,No
customer_0004,Male,0,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Mailed check,70.14963177894418,2456.0460531306703,No
customer_0005,Female,1,Yes,No,8,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),106.65437796076016,936.1509989113742,No
customer_0006,Male,0,Yes,Yes,39,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,93.03698521423483,3540.9396473058537,No
customer_0007,Male,0,Yes,No,6,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,105.0772895003725,576.8005443332975,No
customer_0008,Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,105.09437884577186,3100.9582369801233,Yes
customer_0009,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),29.73365256528208,1901.644114369697,No
customer_0010,Male,0,Yes,Yes,29,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),73.63698826849301,2085.4322854976276,No
customer_0011,Male,0,Yes,No,67,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,97.53646463041731,6516.217009335507,Yes
customer_0012,Male,0,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),113.68561769444327,6273.398460022068,No
customer_0013,Male,0,No,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,87.00588905145068,4686.064815692335,No
customer_0014,Female,0,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,104.3311781666394,1551.6339573393368,Yes
customer_0015,Male,0,Yes,No,36,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,55.61436507609206,1980.8443401830566,Yes
customer_0016,Female,0,Yes,Yes,43,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,89.19321238845718,3990.681312881504,No
customer_0017,Female,0,No,Yes,5,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,55.47558153833184,274.34647823015916,Yes
customer_0018,Female,1,Yes,No,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Credit card (automatic),37.827140373054746,1011.7856051338161,No
customer_0019,Male,0,No,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),24.80768396752851,269.8616967875289,No
customer_0020,Female,1,Yes,No,7,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,107.14490850989083,883.4282144207494,Yes
customer_0021,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,24.73320770502712,590.9419585454945,No
customer_0022,Female,0,Yes,Yes,38,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,118.71999509217962,4327.740433223175,Yes
customer_0023,Female,1,Yes,No,48,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,69.57565091198248,3419.3616250147147,Yes
customer_0024,Female,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,68.88442785811401,4262.134418109087,Yes
customer_0025,Female,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),25.635297407819987,542.8654502960061,No
customer_0026,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.74788170602022,142.41788665569936,No
customer_0027,Female,0,No,Yes,57,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),90.4221291870049,5258.1196454471965,No
customer_0028,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,62.75668680667911,915.8286207664721,No
customer_0029,Female,0,Yes,Yes,72,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,36.098932056825696,2523.2687489996783,No
customer_0030,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,38.603187298840865,2665.0746034332396,Yes
customer_0031,Male,0,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,41.5383244627493,1453.4477796338213,No
customer_0032,Female,0,Yes,Yes,30,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,99.69421225974851,2839.5574285372595,No
customer_0033,Female,0,No,No,49,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),79.71857377332185,4043.6441425200487,Yes
customer_0034,Female,0,Yes,Yes,15,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),25.5120159380036,531.8773644909714,No
customer_0035,Male,0,No,Yes,71,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),87.6590794743813,6238.296646432796,No
customer_0036,Female,1,Yes,No,50,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,70.49078121979919,3427.652368568216,No
